Reviewer,Date,Content
r*****0,2024-01-11,"Quality:berkualiti
Functionality:pelbagai cara penggunaan..minum terus,minum dengan straw,tangkainya sgt kukuh utk kapasiti 890litre.

Sangat berbaloi..warna cantik,fungsi bnyk,tahan lama samada panas atau sejuk,bentuk tangkai yg jimatkan ruang..sgt kemas."
n_9ncokf4y,2024-01-30,Penghantaran cepat..saiz bole tahan besar ..mmg terbaik la sebab dh lebih 5 jam ais batu still kekal elok dlm tu..cantik warna hitam nampak premium..senang nk pegng..smpai2 terus try haha..mmg tak mengecewakan..comel ..ringan..tq seller
r*****0,2024-01-12,"Quality:ketul ais tahan lbih 8 jam,nmpk kukuh,
Functionality:sgt mudah dibawa,blh minum bberapa cara,tangkai yg egornomik,warna pun cantik.

Sangat berbaloi dengan harga,mudah dibawa,disimpan sebab tangkai egornomiknya jimatkan ruang."
r*****0,2024-01-18,"Quality:kukuh
Functionality:sgt praktikal utk isi air panas & sejuk

Disyorkan beli utk kegunaan harian.Bentuk tangkainya paling menarik sbb sgt jimatkan ruang.ketul ais tahan lebih 10 jam.Terbaik sellerğŸ‘"
zulfarez,2024-01-23,"Functionality:Sgt function..
Quality:Good

Sy beli mase live mmg berbaloi harga dia..
Dh try masukkan air.. Air xtumpah..
Selamat digunakan..tq seller.. Pos pun laju n sampai pun laju.. Tq3.."
n*****d,2024-01-09,"Functionality:good
Quality:good

Air sejuk tahan lama. Tak mudah tumpah. Utk bawa ke sekolah agak besar untuk budak tp still ok la sbb ada handle boleh pegang. Size kecil takde stok pula. But overall ok je recommended kalau anak nk minum air sejuk kat sekolah boleh bawa dlm termos mcm ni"
layanzshop,2024-02-18,"Quality:Good
Functionality:Good

Masa beli dpt part yg patah, chat dgn seller dapat respon yg cepat... Seller terus ganti part yg patah... Bagus, cepat bertindak, dan sgt puas hati dgn servis dan penerangan yg diberikan... Murah dan sgt berbaloi beli dgn seller ni. Thank you!"
suryateeabdrashid,2023-12-29,"Functionality:baikkk
Quality:sonooookkk sgttt

Barang dah selamat sampai..sonoknyeeeeeee beli dpt wane y mcm d oder..xtau nk kabo cane sonoknye..cimciuuu seller..cimciuuu abam pos brg..moga dlimpahkan rezeki melimpah ruah.."
m*****9,2024-03-17,"Functionality:Too Functioning
Quality:Very Good

Salam. Hai. Parcel bagus. Item bagus dan padu. Bagus untuk travel. Cantik, finishing pun cantik. Perfect dengan harga. Pembelian yang berbaloi. Sangat-sangat rekomen. Recommended Seller. Terima Kasih Seller, Shopee Live dan juga J&T courier."
bestbaby.shop,2023-12-12,"Functionality:terpaling function
Quality:terbaik

Macam tyeso ori, air sejuk tahan 10jam..sangat teruja..dapat harga murah beli dalam live..
Nanti beli satu lg warna pink..ingat nk bg anak bawak p sek tp besar sangat yg 900ml nie..tapi yg penting boleh bawak g jalan-jalan.. penghantaran pun laju jugak la.."
r*****e,2024-02-01,"Quality:Nice good condition good quality
Functionality:Good

Serious la puasa hati beli harga murah function panas sejuk. Siap straw. Ada tangkai sekali serious berbaloi.... Recommended seller boleh beli dgn seller ni penghantaran pun cepat mat...."
n*****_,2024-01-07,"Quality:tahan lasak
Functionality:air sejuk & panas

Cantik sangat...berbaloi la beli time live.harga murah rugi plk beli 1...nk repeat lg untuk ank.bli utk suami bwok p kerja.postage sangat2 laju...jom bli.thanks seller"
y*****7,2023-12-06,"Functionality:Good ğŸ’¯
Quality:Awesome

Love the handle, easy and nice to hold, ğŸ’¯ satisfy. My father likes it so much, thank you seller, delivery pun mantap cepat! Recommended ğŸ‘ğŸ¼ğŸ‘ğŸ¼ğŸ‘ğŸ¼â­ï¸â­ï¸â­ï¸"
adysi06,2024-02-29,"Quality:Excellent
Functionality:Powerful cool

Barang selamat sampai dengan baik dan I digunakan.. sangat berfungsi berbaloi dengan harganya, air tahan lama sejuk & segar, seller mesra pelanggan."
n*****d,2024-01-09,"Functionality:good
Quality:good

Air memang tahan sejuk lama juga. Beli utk anak bawa ke sekolah tp size 900ml ni agak besar utk budak. Nk letak tepi beg sekolah tu agak gedabak. Tp ok je tetap bawa ke sekolah asal boleh minum air sejuk. Hehe Kalau dpt size yg kecik skit lg better kot tp tade stok klu xsilap"
f*****e,2024-01-19,"Quality:Great
Functionality:Functions well

Arrived after two days of ordering it, and it works perfect! Both hot and cold can last for half a day maybe more! So worth it"
aleen.i.m,2024-01-18,"Functionality:tahan sejuk / panas
Quality:GOOD

Seller wrapped parcel double so lebih secure ğŸ‘
Saya guna untuk air sejuk , berbaloi beli time LIVE .
Thank you"
c*****7,2023-12-23,"Functionality:ok
Quality:ok

Fast delivery by the seller. Goods arrived in well packed bubble wrap. Thanks to relibale seller and also good courier friendly services. Thanks to Shopee."
h*****k,2024-03-05,"Quality:good
Functionality:good

Cantikkk even bukan authentic. Tapi quality mostly Sama ye . Semua okay takde rosak apa-apa . Packaging secure . Beli time live guna voucher berbaloi . Tapi silap satu je lupa nak ambik Yang boleh engrave Nama Tu ."
chlva,2024-01-13,"Quality:Good
Functionality:Good

Fast delivery. Product quality ok. The only thing is if you put ice, you can feel the condensation outside. The drink inside is not cold for a long time.  Didn't try with hot water."
chlva,2024-01-13,"Functionality:Good
Quality:Good

Fast delivery. Product quality ok. The only thing is if you put ice, you can feel the condensation outside. The drink inside is not cold for a long time.  Didn't try with hot water."
noorasmahmohdyazid,2024-01-14,"Quality:kualiti memang terbaikkkk..beli time live dapat harga murah..total 5 biji dah beli sampai sekarang
Functionality:kalau letak ais batu memang tahan 12 jam ke atas.. recommended seller..Pos pun Laju..12/1 beli..13/1 delivered"
a*****9,2024-01-26,"Functionality:Well
Quality:So good

Dapat tumbler hensem ni dengan harga RM14 semasa live . Sangat berbaloi !!! Setakat seminggu guna ni memang function ais tak cair dari pagi sampai petang. Bawa kemana2 senang ade pemegang . Sangat recomended . Please buy masa live. will repeat."
z*****i,2024-01-24,"Functionality:Berfungsi dengan baik
Quality:Berkualiti

Penghantaran keluar cepat. Pembungkusan sgt bagus dgn bubblewrap yg tebal. Beli masa live memang dpt harga yg murah. Sgt berpuas hati. Recommended."
c*****5,2023-12-09,"Quality:good
Functionality:good

Fast delivery, mmg tahan sejuk sepanjang hari...sbb faktor cuaca tu yg stat pkai botol camni, klw bawa botol biase air mesti ade balance. Skarang balik skola air licin letak ais +air anak kata ais batu still ada. Harga pun sgt mampu milik alhamdulillah tq seller. Sticker tu anak yg tampal sendiri...comel jgak kejadian kretif bdak2 jaman now."
s*****8,2023-12-28,"Quality:good
Functionality:matap

Delivery x lambat ok la 2 3 hari..
Tahan sejuk tahan panas
Boleh bawak jalan2
Dpt harga murah time live..
Nk repeat lagi... Tq saller..."
10o5b08kmn,2024-03-10,"Functionality:hot cool normal straw
Quality:very good tough nice

Tq seller co2_hu. Brg dipacking kemas. 1 Hari penghantaran. Sgt terbaek. Hg diskaun live. Sesuai utk semua minuman. Tahan lasak. Tq kurier brg selamat sampai. ğŸ¤©ğŸ‘ğŸ»"
inazatulainabbas,2024-01-30,"Functionality:very good
Quality:terbaik

pembungkusan dan penghantaran yg sangat baik. terima kasih seller dan kurier. barang dibungkus dengan kemas dan bubble wrap. penghantaran juga pantas. hebat!!!"
fauzaniz,2024-02-04,"Quality:Terbaik
Functionality:Menjadi

Mantap, seller ship laju, barang smpai dgn selamat sbb bubble wrap tebal ğŸ‘ğŸ» dah test minum air sejuk tahan smpai 4 jam memang tahan sejuk, lebih pd 4 jam xtest lg huhu sory, korang test sndiri ok"
kekbelemoistibutie,2024-01-25,Quality:Kiriman dihantar dgn cepat tidak sampai tiga hari dan sampai. Belum test lagi tapu biasa beli kedai lain ais bertahan sampai sehari. Jumpa kadai ni tawar dengan harga murah tak sangka dapat seperti yang original. Nanti nak repeat order lagi untuk bekal anak ke sekolah.
